Unnamed: 0,species,diameter at breast height [mm],height [dm],volume with bark [m3],genus,stem_volume_formula_1 [m3],stem_volume_formula_2 [m3],stem_volume_formula_3 [m3],stem_volume_formula_4 [m3],stem_volume_formula_5 [m3],stem_volume_formula_6 [m3],stem_volume_formula_7 [m3],stem_volume_formula_8 [m3],stem_volume_formula_9 [m3],stem_volume_formula_10 [m3],stem_volume_formula_11 [m3],stem_volume_formula_12 [m3],stem_volume_formula_13 [m3],stem_volume_formula_14 [m3],stem_volume_formula_15 [m3],stem_volume_formula_16 [m3],stem_volume_formula_17 [m3],stem_volume_formula_18 [m3],stem_volume_formula_19 [m3],stem_volume_formula_20 [m3],stem_volume_formula_21 [m3],stem_volume_formula_22 [m3],stem_volume_formula_23 [m3],stem_volume_formula_24 [m3],stem_volume_formula_25 [m3],stem_volume_formula_26 [m3],stem_volume_formula_27 [m3],stem_volume_formula_28 [m3],stem_volume_formula_29 [m3],stem_volume_formula_30 [m3],stem_volume_formula_31 [m3],stem_volume_formula_32 [m3],stem_volume_formula_33 [m3],stem_volume_formula_34 [m3],stem_volume_formula_35 [m3],stem_volume_formula_36 [m3],stem_volume_formula_37 [m3],stem_volume_formula_38 [m3],stem_volume_formula_39 [m3],stem_volume_formula_40 [m3],stem_volume_formula_41 [m3],stem_volume_formula_42 [m3],stem_volume_formula_43 [m3],stem_volume_formula_44 [m3],stem_volume_formula_45 [m3],stem_volume_formula_46 [m3],stem_volume_formula_47 [m3],stem_volume_formula_48 [m3],stem_volume_formula_49 [m3],stem_volume_formula_50 [m3],stem_volume_formula_51 [m3],stem_volume_formula_52 [m3],stem_volume_formula_53 [m3],stem_volume_formula_54 [m3],stem_volume_formula_55 [m3],stem_volume_formula_56 [m3],stem_volume_formula_57 [m3],stem_volume_formula_58 [m3],stem_volume_formula_59 [m3],stem_volume_formula_60 [m3],stem_volume_formula_61 [m3],stem_volume_formula_62 [m3],stem_volume_formula_63 [m3],stem_volume_formula_64 [m3],stem_volume_formula_65 [m3],stem_volume_formula_66 [m3],stem_volume_formula_67 [m3],stem_volume_formula_68 [m3],stem_volume_formula_69 [m3],stem_volume_formula_70 [m3],stem_volume_formula_71 [m3],stem_volume_formula_72 [m3],stem_volume_formula_73 [m3],stem_volume_formula_74 [m3],stem_volume_formula_75 [m3],stem_volume_formula_76 [m3],stem_volume_formula_77 [m3],stem_volume_formula_78 [m3],stem_volume_formula_79 [m3],stem_volume_formula_80 [m3],stem_volume_formula_81 [m3],stem_volume_formula_82 [m3],stem_volume_formula_83 [m3],stem_volume_formula_84 [m3],stem_volume_formula_85 [m3],stem_volume_formula_86 [m3],stem_volume_formula_87 [m3],stem_volume_formula_88 [m3],stem_volume_formula_89 [m3],stem_volume_formula_90 [m3],stem_volume_formula_91 [m3],stem_volume_formula_92 [m3],stem_volume_formula_93 [m3],stem_volume_formula_94 [m3],stem_volume_formula_95 [m3],stem_volume_formula_96 [m3],stem_volume_formula_97 [m3],stem_volume_formula_98 [m3],stem_volume_formula_99 [m3],stem_volume_formula_100 [m3],stem_volume_formula_101 [m3],stem_volume_formula_102 [m3],stem_volume_formula_103 [m3],stem_volume_formula_104 [m3],stem_volume_formula_105 [m3],stem_volume_formula_106 [m3],stem_volume_formula_107 [m3],stem_volume_formula_108 [m3],stem_volume_formula_109 [m3],stem_volume_formula_110 [m3],stem_volume_formula_111 [m3],stem_volume_formula_112 [m3],stem_volume_formula_113 [m3],stem_volume_formula_114 [m3],stem_volume_formula_115 [m3],stem_volume_formula_116 [m3],stem_volume_formula_117 [m3],stem_volume_formula_118 [m3],stem_volume_formula_119 [m3],stem_volume_formula_120 [m3],stem_volume_formula_121 [m3],stem_volume_formula_122 [m3],stem_volume_formula_123 [m3],stem_volume_formula_124 [m3],stem_volume_formula_125 [m3],stem_volume_formula_126 [m3],stem_volume_formula_127 [m3],stem_volume_formula_128 [m3],stem_volume_formula_129 [m3],stem_volume_formula_130 [m3],stem_volume_formula_131 [m3],stem_volume_formula_132 [m3],stem_volume_formula_133 [m3],stem_volume_formula_134 [m3],stem_volume_formula_135 [m3],stem_volume_formula_136 [m3],stem_volume_formula_137 [m3],stem_volume_formula_138 [m3],stem_volume_formula_139 [m3],stem_volume_formula_140 [m3],stem_volume_formula_141 [m3],stem_volume_formula_142 [m3],stem_volume_formula_143 [m3],stem_volume_formula_144 [m3],stem_volume_formula_145 [m3],stem_volume_formula_146 [m3],stem_volume_formula_147 [m3],stem_volume_formula_148 [m3],stem_volume_formula_149 [m3],stem_volume_formula_150 [m3],stem_volume_formula_151 [m3],stem_volume_formula_152 [m3],stem_volume_formula_153 [m3],stem_volume_formula_154 [m3],stem_volume_formula_155 [m3],stem_volume_formula_156 [m3],stem_volume_formula_157 [m3],stem_volume_formula_158 [m3],stem_volume_formula_159 [m3],stem_volume_formula_160 [m3],stem_volume_formula_161 [m3],stem_volume_formula_162 [m3],stem_volume_formula_163 [m3],stem_volume_formula_164 [m3],stem_volume_formula_165 [m3],stem_volume_formula_166 [m3],stem_volume_formula_167 [m3],stem_volume_formula_168 [m3],stem_volume_formula_169 [m3],stem_volume_formula_170 [m3],stem_volume_formula_171 [m3],stem_volume_formula_172 [m3],stem_volume_formula_173 [m3],stem_volume_formula_174 [m3],stem_volume_formula_175 [m3],stem_volume_formula_176 [m3],stem_volume_formula_177 [m3],stem_volume_formula_178 [m3],stem_volume_formula_179 [m3],stem_volume_formula_180 [m3],stem_volume_formula_181 [m3],stem_volume_formula_182 [m3],stem_volume_formula_183 [m3],stem_volume_formula_184 [m3],stem_volume_formula_185 [m3],stem_volume_formula_186 [m3],stem_volume_formula_187 [m3],stem_volume_formula_188 [m3],stem_volume_formula_189 [m3],stem_volume_formula_190 [m3],stem_volume_formula_191 [m3],stem_volume_formula_192 [m3],stem_volume_formula_193 [m3],stem_volume_formula_194 [m3],stem_volume_formula_195 [m3],stem_volume_formula_196 [m3],stem_volume_formula_197 [m3],stem_volume_formula_198 [m3],stem_volume_formula_199 [m3],stem_volume_formula_200 [m3],stem_volume_formula_201 [m3],stem_volume_formula_202 [m3],stem_volume_formula_203 [m3],stem_volume_formula_204 [m3],stem_volume_formula_205 [m3],stem_volume_formula_206 [m3],stem_volume_formula_207 [m3],stem_volume_formula_208 [m3],stem_volume_formula_209 [m3],stem_volume_formula_210 [m3],stem_volume_formula_211 [m3],stem_volume_formula_212 [m3],stem_volume_formula_213 [m3],stem_volume_formula_214 [m3],stem_volume_formula_215 [m3],stem_volume_formula_216 [m3],stem_volume_formula_217 [m3],stem_volume_formula_218 [m3],stem_volume_formula_219 [m3],stem_volume_formula_220 [m3],stem_volume_formula_221 [m3],stem_volume_formula_222 [m3],stem_volume_formula_223 [m3],stem_volume_formula_224 [m3],stem_volume_formula_225 [m3],stem_volume_formula_226 [m3],stem_volume_formula_227 [m3],stem_volume_formula_228 [m3],stem_volume_formula_229 [m3],stem_volume_formula_230 [m3]
0,Norway spruce,1001,380.0,9.2874832,Picea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.827448778988616,-3.966030353158318,9.9549241804856,10.818056062700268,9.001007742360132,15.9515477928529,0.004060406655714232,7.576425360252669,7.825380151808587,10.303238116947858,7.852455621408557,7.721759908464145,19.114171075999995,15.915783883999994,6.909359873559676,12.555967720828688,8.838986379794594,11.369574802768536,11.369325565210248,11.635830845789142,8.343141010966411,4.7984528994180575,6.874276578910165,11.684269393399997,2.8543534399999997,9.798725983999997,9.751365684399998,11.975016758599997,12.958547832899999,8.748345062999999,12.1199831134,10.171532597799999,13.91059565019247,16.218313902381354,10.641941232799997,9.472088430426838,8.907131091810857,10.00690208594471,7.549640543648629,8.977370763770322,10.988051438999998,10.177012469038592,3.3715578728234066,12.489046374642369,9.962539926397076,9.859630151734041,10.167324192935572,9.794546974046142,9.700789568093295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Norway spruce,128,160.0,0.10130733,Picea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11233386120291414,0.11107973282206723,0.09532777649920002,0.1357789331029122,0.11345735394096317,0.07218052545439314,0.0036779260221476836,0.11035298962587775,0.1108209257687986,0.09780284159492159,0.09534972939565463,0.0750799265292929,0.131596288,0.10957619199999999,0.10298851002093276,0.09035806574242405,0.07061592100166593,0.08427398514391533,0.11898756112253629,0.11823152394692484,0.11237937450184977,0.07300568622982728,0.0996576254484073,0.11445566720000003,0.11097848000000002,0.110176096,0.1119866912,0.11018794879999999,0.11008726720000003,0.09759430399999999,0.11468469120000002,0.11096792640000001,0.1051158299641397,0.12890358591095952,0.11648675840000002,0.11277061509546352,0.1130091488813119,0.1108020886109678,0.09834812624147389,0.09643765194804049,0.11538841600000002,0.11066993275548656,0.11572322572410376,0.11944777094506785,0.10836869625634091,0.1090642851268809,0.11001198097674621,0.11087268539291921,0.10932552498388699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Sitka spruce,159,148.0,0.16453689,Picea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1516924689024457,0.15008510082564794,0.1429872115472,0.21543644265472883,0.155087960220157,0.12753414384981338,0.0041265270475060265,0.1488449126904203,0.14920824716764075,0.13971596894358668,0.13324039645556962,0.13419490413655547,0.18782771760000003,0.1563983784,0.13874971286623802,0.13854965895670612,0.10709165983175496,0.1288187022922227,0.15952659072105158,0.15307587111979337,0.1520027454393449,0.10059599302371292,0.13299346155739272,0.15308249812,0.1425761216,0.15265337952,0.15316585751999998,0.15366027452,0.14913010306000005,0.14752013987999998,0.15440403652000004,0.15430281484,0.14705032923128727,0.17848201497956828,0.15251653120000003,0.15091950144225846,0.1512472598148967,0.15032949076133265,0.12982138061209317,0.13076364226408835,0.15233563700000002,0.15054112585421936,0.14469601943845828,0.16098954110422603,0.14575144944114443,0.14648180994176446,0.14755632443302616,0.14993892885540114,0.14756868462908215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Sitka spruce,430,290.0,1.8259069,Picea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8340163669102778,1.1337940207136783,1.8933745673,1.7907139010625186,1.6083933276333686,1.7364162809575072,0.005384156546057581,1.7593166175494035,1.7676853875368166,1.6269575718498204,1.3692633403188328,1.7166355839783207,2.6917742,2.2413578,1.3205648940520278,1.7328520534743626,1.2733821367363145,1.5882817949081616,1.9194019250131729,1.9781574286226276,1.7593507818921146,1.0458313188782424,1.456469109389233,1.9152119399999998,0.8972834000000001,1.8526445599999997,1.8322765399999998,1.96015994,1.9563091400000001,1.7587385000000002,1.94896109,1.86622657,1.996191074106692,2.3526387532387445,1.8328261399999999,1.7912515029692557,1.771629464810962,1.8178650255739452,1.55817487870892,1.6292138763202157,1.8511805399999999,1.8146924810494618,0.9016968153870374,2.036166301238728,1.862495406101505,1.8691720227715807,1.8445853588418528,1.743321679014709,1.6759524113200754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Other spruces,122,76.0,0.039199714,Picea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.045715323718939736,0.04692955214433208,0.0477211616272,0.12258879779437519,0.05422093375838622,0.06363501327230713,0.0035743899772631713,0.04535593584197612,0.045679218525821644,0.04933908733635006,0.049195369795762736,0.06599241554036052,0.0567854368,0.04728349119999999,0.05008536195610595,0.05411641240137041,0.042395920132734244,0.05050741580658164,0.0479143128712963,0.04043072065715941,0.04705494351189691,0.034639166358506376,0.03946323456946939,0.04575672607999999,0.05030141119999999,0.051615163839999985,0.049992450079999994,0.04755402319999999,0.046097026959999995,0.049597415359999994,0.04644782927999999,0.050002318559999995,0.045586182537923695,0.056043122593119186,0.04787058367999999,0.046030647431036735,0.04625193576445558,0.04717254716032826,0.037579158027928036,0.039606070109023526,0.04814599119999999,0.04719455729618413,0.06075523538495226,0.04713735383572518,0.043824456848185867,0.04372136633620065,0.03941436469613495,0.04853728809454895,0.046939598673385506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Other spruces,235,100.0,0.20704176,Picea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17497031610729175,0.1810772564563783,0.17752885960000003,0.4948576655756719,0.2183323228091779,0.3555898697131642,0.004819810268523817,0.1911103705858025,0.19139821488962458,0.21749337532407534,0.20049653411382792,0.37688925256021133,0.27722949999999996,0.23084049999999998,0.19118983148912488,0.26064667862574054,0.1975066207731701,0.2409839208490378,0.20466098485971643,0.1742796545552907,0.19608161444120903,0.140084474861205,0.1651953639837096,0.19233142500000003,0.17390000000000003,0.18264579999999997,0.18209095,0.20131647500000002,0.2074036125,0.187669925,0.19780352499999998,0.189156575,0.21116610802873279,0.2525905390936435,0.2018306,0.1908784994425012,0.19029858941817243,0.19809355691508893,0.15488810619543059,0.16975554477863564,0.204993025,0.19997928525859593,0.17779540046143022,0.20719999353066423,0.18528220136055945,0.18496363373632532,0.18059374020994523,0.19981752190988555,0.19584390119358722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Scots pine,305,259.0,0.82990932,Pinus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.622440456449323,0.8929968503380801,0.9407543797974999,0.9709466308102856,0.6301962987649999,0.9389076792667821,,,,,,,,0.8337738666210242,0.6943733438862499,0.695565361425,0.658465421343641,0.5127260788441115,0.8677009452427504,0.8675818590560042,0.7653033273007838,0.7387702579935156,0.9056883286500002,0.6578483824858034,0.8440226019844524,0.837212185243982,0.716011809934233,0.3794167062345357,0.7208700682344489,0.9254327381840962,0.8512146935951196,0.8535955889717054,0.875279681843535,0.8408398171749999,0.8749847909299999,0.9205898092,0.013830537275000011,0.94031683835,0.8679243939971785,0.8540555603249999,0.8654570243530999,0.8611176239979619,0.8158498131041032,0.7672588000604517,0.7114800574785661,0.834134180325,0.7243744047570855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Scots pine,348,276.0,0.98203754,Pinus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8154528170178813,1.2204580159329987,1.2817396198656,1.3353247492525062,0.8697454354943998,1.2803333356337945,,,,,,,,1.1393642472310581,0.9438247890803233,0.9894594491679998,0.9241774404944045,0.6690082030589353,1.184985304961669,1.1843461085134779,1.0371659381479186,0.9971910644840193,1.2349980460799999,0.8981522149776046,1.1570259167861447,1.1399725076796572,0.9553790899895388,0.4988993185670652,0.9620114743460967,1.259784315532062,1.155925537970042,1.1602503430020683,1.1926584066470405,1.1570317371519998,1.1994454519039999,1.2739756977279995,0.014880081696000004,1.3033576338239998,1.1807326303559116,1.16687888352,1.1793018080149245,1.1752250377314237,1.1119415363194507,1.0507081912549259,0.9749193827965352,1.1349562031999998,0.9928595607717707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Mountain pine,25,,0.0,Pinus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002058068838138464,,0.001062469859197079,0.0012139441727778049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Mountain pine,272,38.0,0.16245905,Pinus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10430584483073631,0.10821871622275776,0.1583926924544,0.1002581030337609,0.15816778370559995,0.12122110274233655,,,,,,,,0.12409983673530935,0.5319382216605498,0.37299009535199995,0.4905824828534468,0.40092774225437416,0.15200530253591166,0.15586642122668914,0.1592684682703095,0.14384087635218887,-0.05034547007999997,0.4986560997595466,0.1211529246852693,0.1604038437583736,0.22544931782054808,0.120994673837238,0.22694830518874268,0.0955819409578037,0.13320319182051224,0.14108397358623956,0.22243149926453792,0.15426874457599996,0.14182771577599995,0.12805804326399997,0.029434032287999998,0.11231611715199999,0.10198504513035575,0.15415199072,0.13935585359252192,0.13180904007365948,0.13711430632900362,0.09114818183160153,0.08195449582703183,0.15041642975999997,0.06290727172176955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
